Class 0
1673-143397-0004 4.61 4.69
1673-143397-0010 0.89 1.01
1673-143397-0010 5.75 5.86
1673-143397-0010 10.83 10.91
1673-143397-0013 1.21 1.32
1673-143397-0014 5.58 5.68
1673-143397-0015 5.17 5.28
1673-143397-0016 1.16 1.24
1673-143397-0016 5.65 5.74
1673-143397-0018 2.16 2.25
1673-143397-0019 12.01 12.10
1673-143397-0019 14.68 14.77
1673-143397-0020 1.27 1.39
1673-143397-0020 6.86 6.95
174-168635-0003 7.67 7.79
174-168635-0004 8.08 8.19
174-168635-0004 11.11 11.28
174-168635-0006 5.14 5.26
174-168635-0007 3.33 3.48
174-168635-0017 1.01 1.14
174-168635-0018 13.29 13.41
174-50561-0001 7.59 7.70
174-50561-0010 10.62 10.78
174-50561-0015 3.63 3.79
174-84280-0001 8.71 8.83
174-84280-0001 15.87 15.99
174-84280-0004 11.53 11.65
174-84280-0004 14.72 14.83
174-84280-0005 1.99 2.14
174-84280-0006 1.65 1.79
174-84280-0012 6.19 6.34
1919-142785-0001 6.08 6.21
1919-142785-0002 9.17 9.28
1919-142785-0008 2.57 2.68
1919-142785-0010 1.11 1.20
1919-142785-0010 5.11 5.21
1919-142785-0010 6.61 6.71
1919-142785-0011 4.74 4.92
1919-142785-0014 1.89 1.99
1919-142785-0017 2.95 3.08
1919-142785-0018 2.89 3.02
1919-142785-0019 3.61 3.74
1919-142785-0023 0.86 0.98
1919-142785-0025 6.28 6.42
1919-142785-0026 4.61 4.71
1919-142785-0027 0.96 1.11
1919-142785-0030 2.24 2.34
1919-142785-0032 3.14 3.26
1919-142785-0040 1.17 1.31
1919-142785-0047 2.87 2.98
1919-142785-0049 2.48 2.59
1919-142785-0049 6.57 6.67
1919-142785-0054 3.00 3.08
1919-142785-0055 7.51 7.63
1919-142785-0059 4.31 4.40
1919-142785-0059 7.74 7.85
1919-142785-0062 3.13 3.23
1988-147956-0000 1.80 1.89
1988-147956-0000 3.65 3.78
1988-147956-0000 8.17 8.29
1988-147956-0000 13.27 13.39
1988-147956-0001 6.10 6.22
1988-147956-0004 2.03 2.10
1988-147956-0008 3.01 3.12
1988-147956-0008 6.57 6.70
1988-148538-0000 4.00 4.09
1988-148538-0000 11.57 11.70
1988-148538-0001 1.36 1.45
1988-148538-0001 5.59 5.68
1988-148538-0001 8.06 8.17
1988-148538-0005 2.95 3.10
1988-148538-0006 7.91 8.03
1988-148538-0013 4.51 4.64
1988-148538-0014 9.49 9.59
1988-24833-0013 3.90 4.00
1993-147149-0002 4.64 4.74
1993-147149-0003 6.73 6.85
1993-147149-0005 2.31 2.40
1993-147149-0006 24.96 25.07
1993-147149-0006 26.75 26.88
1993-147149-0007 5.49 5.59
1993-147149-0009 15.91 16.06
1993-147149-0010 2.15 2.24
1993-147149-0015 3.21 3.28
1993-147149-0021 5.06 5.17
1993-147149-0027 1.13 1.32
1993-147149-0027 13.64 13.76
1993-147149-0029 3.63 3.73
1993-147149-0030 6.50 6.60
1993-147964-0000 1.70 1.76
1993-147964-0003 1.20 1.34
1993-147964-0008 3.93 4.09
1993-147964-0009 3.07 3.25
1993-147965-0007 1.40 1.58
1993-147965-0007 4.05 4.17
1993-147965-0008 1.28 1.36
1993-147966-0000 5.78 5.86
2035-147960-0000 3.51 3.61
2035-147960-0004 1.07 1.18
2035-147960-0005 1.83 1.93
2035-147960-0008 3.31 3.45
2035-147961-0002 4.73 4.83
2035-147961-0004 2.87 2.99
2035-147961-0005 1.31 1.41
2035-147961-0005 3.37 3.50
2035-147961-0013 2.17 2.24
2035-147961-0025 4.49 4.57
2035-147961-0032 1.46 1.56
2035-147961-0032 9.76 9.90
2035-147961-0032 10.66 10.76
2035-147961-0038 0.93 1.02
2035-152373-0000 2.10 2.22
2035-152373-0001 10.15 10.27
2035-152373-0002 3.31 3.43
2035-152373-0002 8.24 8.37
2035-152373-0003 1.14 1.22
2035-152373-0004 1.36 1.48
2035-152373-0004 6.25 6.37
2035-152373-0005 16.93 17.09
2035-152373-0005 18.70 18.77
2035-152373-0005 22.33 22.42
2035-152373-0007 10.75 10.84
2035-152373-0008 1.57 1.68
2035-152373-0009 7.53 7.64
2035-152373-0011 8.55 8.68
2035-152373-0013 2.96 3.10
2035-152373-0013 6.72 6.82
2035-152373-0013 17.35 17.45
2035-152373-0014 5.70 5.83
2035-152373-0015 7.15 7.26
2078-142845-0005 6.97 7.09
2078-142845-0005 13.77 13.89
2078-142845-0007 9.35 9.52
2078-142845-0008 17.89 18.04
2078-142845-0014 6.35 6.49
2078-142845-0019 1.75 1.90
2078-142845-0025 6.56 6.73
2078-142845-0025 17.74 17.84
2078-142845-0027 3.14 3.26
2078-142845-0033 7.28 7.42
2078-142845-0037 14.86 15.01
2078-142845-0039 17.74 17.87
2078-142845-0039 19.62 19.82
2078-142845-0043 15.53 15.71
2078-142845-0047 3.44 3.56
2086-149214-0000 8.63 8.74
2086-149214-0002 12.15 12.27
2086-149214-0004 8.22 8.31
2086-149220-0000 9.62 9.70
2086-149220-0001 15.37 15.50
2086-149220-0002 14.94 15.02
2086-149220-0006 2.77 2.89
2086-149220-0008 6.11 6.20
2086-149220-0009 4.78 4.87
2086-149220-0010 7.22 7.35
2086-149220-0011 1.68 1.79
2086-149220-0011 3.20 3.31
2086-149220-0011 11.65 11.75
2086-149220-0012 3.45 3.59
2086-149220-0012 6.66 6.76
2086-149220-0012 13.82 13.91
2086-149220-0013 7.38 7.47
2086-149220-0017 3.73 3.83
2086-149220-0017 7.34 7.43
2086-149220-0019 3.22 3.35
2086-149220-0030 4.34 4.46
2086-149220-0032 2.71 2.82
2086-149220-0040 4.15 4.28
2086-149220-0041 3.49 3.60
2086-149220-0041 11.63 11.73
2086-149220-0049 2.33 2.47
2086-149220-0049 4.66 4.76
2086-149220-0049 6.90 6.99
2277-149874-0000 7.79 7.91
2277-149874-0000 11.82 11.93
2277-149874-0001 1.31 1.41
2277-149874-0002 1.93 2.04
2277-149874-0002 3.77 3.88
2277-149874-0012 3.07 3.18
2277-149896-0000 1.40 1.49
2277-149896-0002 3.51 3.58
2277-149896-0003 1.22 1.30
2277-149896-0008 1.33 1.43
2277-149896-0027 2.79 2.90
2277-149896-0029 1.37 1.53
2277-149897-0002 1.64 1.71
2277-149897-0004 1.77 1.86
2277-149897-0005 3.00 3.15
2277-149897-0006 1.86 1.98
2277-149897-0010 3.15 3.24
2277-149897-0018 1.73 1.84
2277-149897-0020 3.68 3.80
2277-149897-0022 5.07 5.13
2277-149897-0026 3.10 3.19
2277-149897-0034 8.56 8.64
2412-153947-0005 3.38 3.50
2412-153947-0005 7.26 7.35
2412-153947-0006 1.52 1.63
2412-153947-0008 2.51 2.60
2412-153947-0008 4.76 4.89
2412-153947-0009 2.89 3.03
2412-153947-0010 9.19 9.29
2412-153947-0011 6.40 6.52
2412-153947-0011 8.78 8.88
2412-153947-0013 1.36 1.46
2412-153947-0014 5.44 5.53
2412-153948-0001 4.62 4.81
2412-153948-0003 2.67 2.77
2412-153948-0004 6.76 6.84
2412-153948-0004 19.41 19.55
2412-153948-0006 5.66 5.83
2412-153948-0006 12.46 12.59
2412-153954-0000 7.92 8.03
2412-153954-0004 3.59 3.69
2412-153954-0004 9.03 9.16
2412-153954-0006 7.13 7.24
2412-153954-0007 7.35 7.46
2412-153954-0009 5.12 5.22
2412-153954-0009 7.47 7.59
2412-153954-0010 6.40 6.51
2412-153954-0014 13.13 13.23
2412-153954-0014 16.55 16.65
2412-153954-0016 1.29 1.41
2412-153954-0018 5.74 5.84
2428-83699-0000 1.97 2.14
2428-83699-0000 7.71 7.79
2428-83699-0000 10.99 11.09
2428-83699-0003 3.78 3.87
2428-83699-0005 1.55 1.66
2428-83699-0005 4.79 4.89
2428-83699-0008 7.01 7.13
2428-83699-0025 7.36 7.46
2428-83699-0028 2.17 2.28
2428-83699-0032 1.15 1.25
2428-83699-0037 1.05 1.16
2428-83699-0040 1.49 1.59
2428-83699-0042 1.04 1.17
2428-83705-0005 3.19 3.30
2428-83705-0010 0.84 0.96
2428-83705-0017 1.35 1.44
2428-83705-0018 2.92 3.02
2428-83705-0019 1.18 1.35
2428-83705-0025 1.47 1.59
2428-83705-0028 1.60 1.74
2428-83705-0028 8.07 8.17
2428-83705-0031 1.51 1.59
2428-83705-0037 6.87 6.98
2428-83705-0038 2.83 2.96
2428-83705-0042 3.18 3.31
251-118436-0002 5.19 5.32
251-118436-0009 3.50 3.69
251-118436-0009 7.85 7.98
251-118436-0010 0.83 0.98
251-118436-0011 1.72 1.83
251-118436-0011 3.61 3.73
251-118436-0012 2.37 2.51
251-118436-0012 3.12 3.25
251-118436-0012 9.87 10.01
251-118436-0019 3.03 3.18
251-118436-0019 6.34 6.46
251-118436-0020 1.81 1.95
251-136532-0000 7.87 7.98
251-136532-0002 5.26 5.38
251-136532-0004 10.27 10.36
251-136532-0004 23.39 23.50
251-136532-0008 9.25 9.38
251-136532-0023 1.07 1.20
251-136532-0023 1.87 1.98
251-137823-0002 0.95 1.04
251-137823-0014 3.23 3.34
251-137823-0018 2.40 2.58
251-137823-0019 3.75 3.88
2803-154320-0000 6.70 6.79
2803-154320-0001 14.33 14.48
2803-154320-0003 3.33 3.50
2803-154320-0010 1.77 1.89
2803-154320-0011 0.61 0.77
2803-154328-0000 3.21 3.35
2803-154328-0008 3.51 3.70
2803-154328-0009 2.23 2.38
2803-154328-0015 19.41 19.52
2803-154328-0018 11.76 12.00
2803-154328-0019 2.70 2.88
2803-161169-0005 5.34 5.50
2803-161169-0005 8.71 8.83
2803-161169-0006 3.80 3.98
2803-161169-0007 9.15 9.29
2803-161169-0011 0.98 1.20
2803-161169-0012 13.57 13.77
2803-161169-0013 2.79 2.93
2803-161169-0013 6.65 6.83
2902-9006-0001 9.87 9.98
2902-9006-0001 17.63 17.76
2902-9006-0002 3.99 4.14
2902-9006-0002 9.39 9.49
2902-9006-0003 7.14 7.27
2902-9006-0005 11.47 11.59
2902-9006-0005 14.54 14.68
2902-9006-0007 1.85 1.96
2902-9006-0007 6.93 7.06
2902-9006-0007 14.21 14.35
2902-9006-0007 24.97 25.11
2902-9006-0008 9.69 9.82
2902-9006-0009 1.12 1.22
2902-9006-0012 5.28 5.36
2902-9006-0014 2.47 2.66
2902-9006-0014 12.49 12.61
2902-9006-0015 2.65 2.78
2902-9006-0015 6.61 6.77
2902-9006-0015 10.77 10.88
2902-9006-0015 30.99 31.10
2902-9006-0017 5.63 5.75
2902-9006-0018 9.26 9.39
2902-9006-0018 20.17 20.31
2902-9006-0018 24.97 25.08
2902-9006-0019 12.55 12.69
2902-9008-0000 2.69 2.83
2902-9008-0001 13.20 13.34
2902-9008-0002 2.22 2.34
2902-9008-0002 18.36 18.49
2902-9008-0003 5.98 6.14
2902-9008-0004 0.61 0.74
2902-9008-0012 5.79 5.90
2902-9008-0014 4.58 4.74
3000-15664-0001 8.17 8.34
3000-15664-0002 1.61 1.79
3000-15664-0007 6.10 6.21
3000-15664-0010 2.98 3.10
3000-15664-0012 1.10 1.20
3000-15664-0013 5.61 5.78
3000-15664-0019 1.37 1.48
3000-15664-0021 6.63 6.75
3000-15664-0021 11.30 11.46
3000-15664-0024 12.02 12.12
3000-15664-0025 1.77 1.86
3000-15664-0033 8.03 8.16
3000-15664-0034 6.82 6.93
3000-15664-0034 7.57 7.72
3000-15664-0034 11.99 12.11
3000-15664-0036 3.30 3.42
3000-15664-0036 6.22 6.36
3000-15664-0037 1.25 1.37
3000-15664-0037 7.83 8.01
3000-15664-0038 10.32 10.52
3000-15664-0039 3.71 3.80
3000-15664-0040 1.23 1.33
3000-15664-0041 20.80 20.97
3000-15664-0041 23.12 23.21
3000-15664-0044 7.63 7.77
3000-15664-0044 11.89 12.00
3000-15664-0045 1.12 1.23
3081-166546-0045 8.15 8.29
3081-166546-0052 2.63 2.75
3081-166546-0060 1.46 1.57
3081-166546-0067 3.49 3.66
3081-166546-0084 2.27 2.44
3170-137482-0000 18.25 18.35
3170-137482-0000 20.52 20.63
3170-137482-0001 2.93 3.05
3170-137482-0002 6.42 6.53
3170-137482-0002 7.98 8.08
3170-137482-0003 1.44 1.52
3170-137482-0003 9.93 10.03
3170-137482-0007 15.33 15.45
3170-137482-0009 1.28 1.40
3170-137482-0009 2.88 3.00
3170-137482-0009 3.47 3.56
3170-137482-0011 7.75 7.91
3170-137482-0021 3.50 3.63
3170-137482-0030 4.83 4.95
3170-137482-0031 5.73 5.84
3170-137482-0031 7.53 7.64
3170-137482-0035 6.17 6.26
3170-137482-0036 3.47 3.57
3170-137482-0037 3.84 3.95
3170-137482-0040 5.66 5.78
3170-137482-0041 5.80 5.90
3170-137482-0044 4.14 4.27
3170-137482-0044 5.71 5.84
3170-137482-0044 10.86 10.99
3170-137482-0048 3.20 3.32
3536-23268-0000 10.42 10.52
3536-23268-0001 2.21 2.28
3536-23268-0002 6.65 6.77
3536-23268-0003 6.89 7.02
3536-23268-0012 1.87 1.97
3536-23268-0016 4.63 4.74
3536-23268-0016 8.88 8.98
3536-23268-0017 9.33 9.40
3536-23268-0018 4.00 4.07
3536-23268-0025 1.81 1.90
3536-23268-0026 5.39 5.51
3536-23268-0026 6.17 6.25
3536-8226-0001 7.58 7.66
3536-8226-0002 4.48 4.58
3536-8226-0002 6.79 6.89
3536-8226-0004 2.31 2.40
3536-8226-0018 1.34 1.43
3536-8226-0018 7.04 7.13
3536-8226-0020 4.19 4.28
3536-8226-0024 4.11 4.22
3536-8226-0025 1.00 1.13
3576-138058-0000 5.50 5.60
3576-138058-0000 13.19 13.29
3576-138058-0001 9.65 9.77
3576-138058-0002 3.15 3.29
3576-138058-0002 12.77 12.87
3576-138058-0002 20.94 21.05
3576-138058-0009 6.98 7.08
3576-138058-0013 2.91 3.05
3576-138058-0015 4.96 5.07
3576-138058-0020 4.70 4.84
3576-138058-0024 17.96 18.05
3576-138058-0027 7.17 7.28
3576-138058-0033 2.76 2.87
3576-138058-0036 10.24 10.38
3576-138058-0036 15.90 16.03
3576-138058-0039 0.38 0.46
3576-138058-0039 2.58 2.74
3576-138058-0039 5.50 5.64
3576-138058-0040 2.63 2.74
3752-4943-0001 9.95 10.04
3752-4943-0004 5.55 5.70
3752-4943-0004 7.43 7.60
3752-4943-0004 12.79 12.87
3752-4943-0024 4.79 4.90
3752-4944-0008 1.13 1.22
3752-4944-0009 1.04 1.13
3752-4944-0017 1.00 1.09
3752-4944-0020 12.65 12.73
3752-4944-0022 10.89 10.98
3752-4944-0048 1.16 1.25
3752-4944-0050 1.54 1.62
3752-4944-0062 2.49 2.60
3752-4944-0064 2.54 2.66
3752-4944-0068 7.29 7.41
3752-4944-0068 10.52 10.64
3752-4944-0068 12.54 12.62
3752-4944-0069 1.03 1.12
3853-163249-0001 2.06 2.18
3853-163249-0005 8.52 8.64
3853-163249-0016 1.73 1.83
3853-163249-0016 14.17 14.29
3853-163249-0030 12.90 13.05
3853-163249-0036 1.65 1.78
3853-163249-0036 2.85 2.95
3853-163249-0040 2.51 2.69
3853-163249-0046 14.58 14.71
3853-163249-0049 11.30 11.42
3853-163249-0054 10.72 10.87
3853-163249-0054 16.84 16.97
422-122949-0000 5.18 5.30
422-122949-0000 11.89 12.05
422-122949-0000 12.84 13.00
422-122949-0001 1.29 1.43
422-122949-0001 5.95 6.08
422-122949-0001 11.24 11.35
422-122949-0003 2.70 2.82
422-122949-0003 13.55 13.68
422-122949-0005 4.02 4.14
422-122949-0005 7.29 7.43
422-122949-0006 2.08 2.20
422-122949-0006 12.49 12.64
422-122949-0009 4.74 4.89
422-122949-0009 16.26 16.41
422-122949-0009 21.09 21.21
422-122949-0010 3.39 3.50
422-122949-0010 11.43 11.52
422-122949-0010 28.30 28.45
422-122949-0011 7.59 7.71
422-122949-0013 1.33 1.47
422-122949-0013 12.51 12.64
422-122949-0013 14.64 14.77
422-122949-0014 17.14 17.27
422-122949-0015 2.91 3.03
422-122949-0015 15.24 15.38
422-122949-0017 1.40 1.57
422-122949-0019 6.34 6.46
422-122949-0019 13.12 13.22
422-122949-0020 1.92 2.03
422-122949-0020 12.95 13.20
422-122949-0022 8.98 9.12
422-122949-0022 15.21 15.32
422-122949-0023 1.15 1.28
422-122949-0023 6.06 6.16
422-122949-0023 9.69 9.87
422-122949-0023 10.17 10.30
422-122949-0023 13.26 13.38
422-122949-0024 1.55 1.78
422-122949-0024 3.09 3.23
422-122949-0024 3.94 4.06
422-122949-0024 7.36 7.48
422-122949-0025 4.10 4.20
422-122949-0031 1.06 1.19
5338-24615-0000 5.07 5.14
5338-24615-0001 5.96 6.07
5338-24615-0002 10.61 10.75
5338-24615-0003 8.51 8.63
5338-24615-0004 1.76 1.88
5338-24615-0005 2.15 2.31
5338-24615-0007 2.05 2.23
5338-24615-0007 8.82 8.92
5338-24615-0008 7.33 7.44
5338-24615-0011 1.77 1.88
5338-24615-0012 1.01 1.13
5338-24615-0012 2.42 2.52
5338-24615-0014 2.75 2.87
5338-24615-0014 10.38 10.51
5338-24640-0001 7.72 7.83
5338-24640-0004 7.03 7.15
5338-24640-0007 8.09 8.21
5338-24640-0009 10.20 10.31
5338-284437-0001 1.60 1.72
5338-284437-0004 2.13 2.24
5338-284437-0009 2.82 2.93
5338-284437-0009 5.45 5.55
5338-284437-0020 4.42 4.54
5338-284437-0020 9.41 9.53
5338-284437-0026 2.13 2.22
5338-284437-0026 5.50 5.58
5536-43358-0003 4.98 5.09
5536-43358-0004 2.42 2.54
5536-43358-0004 4.45 4.59
5536-43358-0006 7.12 7.26
5536-43358-0008 1.37 1.47
5536-43358-0011 4.45 4.58
5536-43358-0012 0.79 0.93
5536-43358-0012 2.27 2.38
5536-43358-0013 6.79 6.92
5536-43358-0015 0.65 0.75
5536-43358-0017 2.44 2.53
5536-43358-0017 5.84 5.99
5536-43358-0017 8.75 8.88
5536-43359-0001 4.90 5.00
5536-43359-0003 2.81 2.94
5536-43359-0003 5.51 5.61
5536-43359-0004 1.84 1.92
5536-43359-0004 5.15 5.33
5536-43359-0005 3.27 3.37
5536-43359-0007 1.21 1.30
5536-43359-0007 4.19 4.27
5536-43359-0007 8.15 8.28
5536-43359-0011 15.27 15.41
5536-43359-0011 18.43 18.56
5536-43359-0013 1.88 2.01
5536-43359-0014 1.41 1.49
5536-43363-0005 1.34 1.44
5536-43363-0005 2.43 2.58
5536-43363-0005 9.46 9.57
5536-43363-0008 0.97 1.11
5536-43363-0008 2.15 2.31
5536-43363-0008 7.05 7.19
5536-43363-0009 17.44 17.62
5536-43363-0012 1.01 1.14
5536-43363-0014 0.98 1.08
5536-43363-0014 5.08 5.19
5536-43363-0014 9.10 9.24
5536-43363-0014 9.89 10.02
5536-43363-0018 6.21 6.31
5536-43363-0019 3.01 3.12
5694-64025-0002 3.43 3.63
5694-64025-0010 1.58 1.72
5694-64025-0010 3.55 3.66
5694-64025-0010 4.52 4.64
5694-64025-0010 17.12 17.21
5694-64025-0019 6.43 6.57
5694-64029-0013 0.76 0.87
5694-64029-0013 2.76 2.86
5694-64029-0021 1.59 1.67
5694-64029-0024 9.61 9.71
5694-64029-0031 2.38 2.49
5694-64038-0003 5.31 5.43
5694-64038-0004 8.64 8.77
5694-64038-0015 5.20 5.37
5694-64038-0017 5.25 5.39
5694-64038-0017 13.89 14.02
5895-34615-0000 2.19 2.35
5895-34615-0002 2.91 3.00
5895-34615-0010 4.33 4.41
5895-34615-0012 9.45 9.60
5895-34615-0017 5.42 5.55
5895-34615-0020 3.35 3.46
5895-34615-0021 4.84 4.96
5895-34622-0004 1.27 1.36
5895-34622-0008 1.97 2.08
5895-34622-0010 1.06 1.15
5895-34622-0012 1.29 1.39
5895-34622-0013 3.38 3.47
5895-34622-0013 6.06 6.14
5895-34622-0019 1.80 1.91
5895-34622-0019 7.54 7.69
5895-34622-0020 1.77 1.87
5895-34622-0022 5.52 5.66
5895-34629-0007 7.36 7.47
5895-34629-0008 1.09 1.18
5895-34629-0008 3.98 4.11
5895-34629-0013 2.22 2.39
5895-34629-0015 2.60 2.70
5895-34629-0016 1.36 1.47
5895-34629-0018 2.47 2.58
5895-34629-0021 3.25 3.35
5895-34629-0022 2.74 2.84
5895-34629-0024 1.04 1.21
5895-34629-0027 6.02 6.17
6241-61943-0005 3.13 3.23
6241-61943-0005 4.01 4.11
6241-61943-0006 3.23 3.30
6241-61943-0010 3.00 3.13
6241-61943-0011 1.71 1.78
6241-61943-0012 2.27 2.38
6241-61943-0014 4.59 4.71
6241-61943-0026 7.90 8.00
6241-61943-0027 6.73 6.82
6241-61943-0027 8.17 8.25
6241-61943-0027 16.44 16.56
6241-61946-0000 2.32 2.44
6241-61946-0000 3.67 3.74
6241-61946-0002 2.14 2.24
6241-61946-0005 2.08 2.18
6241-61946-0011 7.02 7.16
6241-61946-0011 9.30 9.44
6241-61946-0014 1.34 1.42
6241-61946-0017 2.17 2.26
6241-61946-0020 10.92 11.05
6241-61946-0023 4.34 4.40
6241-61946-0023 5.65 5.74
6241-66616-0000 1.14 1.22
6241-66616-0000 5.36 5.45
6241-66616-0001 2.01 2.10
6241-66616-0001 6.71 6.81
6241-66616-0005 4.03 4.13
6241-66616-0006 3.62 3.75
6241-66616-0008 8.70 8.81
6241-66616-0008 9.75 9.82
6241-66616-0008 16.37 16.47
6241-66616-0009 4.38 4.44
6241-66616-0010 3.11 3.21
6241-66616-0010 8.27 8.36
6241-66616-0014 6.14 6.26
6241-66616-0014 6.68 6.78
6241-66616-0018 1.57 1.66
6241-66616-0024 0.86 0.95
6241-66616-0025 5.07 5.18
6295-244435-0002 4.43 4.55
6295-244435-0004 10.37 10.57
6295-244435-0008 1.09 1.18
6295-244435-0008 3.82 3.94
6295-244435-0010 4.98 5.16
6295-244435-0011 1.57 1.73
6295-244435-0020 4.27 4.39
6295-244435-0023 2.89 3.02
6295-244435-0024 1.95 2.07
6295-244435-0029 2.45 2.58
6295-244435-0030 4.56 4.66
6295-244435-0033 2.32 2.42
6295-244435-0033 7.24 7.37
6295-244435-0039 1.26 1.39
6295-64301-0001 1.43 1.55
6295-64301-0006 4.87 5.01
6295-64301-0007 3.00 3.13
6295-64301-0020 4.53 4.70
6295-64301-0022 8.92 9.00
6295-64301-0022 9.35 9.48
6295-64301-0023 16.05 16.21
6295-64301-0029 2.88 2.99
6295-64301-0029 8.97 9.17
6295-64301-0029 9.80 9.97
6313-66125-0004 2.03 2.11
6313-66125-0005 0.89 1.00
6313-66125-0005 1.67 1.75
6313-66125-0006 1.66 1.78
6313-66125-0010 2.90 3.00
6313-66125-0020 1.50 1.63
6313-66125-0021 1.36 1.45
6313-66125-0022 5.21 5.35
6313-66125-0025 2.81 2.89
6313-66129-0008 1.91 2.04
6313-66129-0008 4.29 4.41
6313-66129-0015 5.25 5.32
6313-66129-0016 5.75 5.87
6313-76958-0004 1.51 1.60
6313-76958-0006 0.50 0.60
6313-76958-0010 3.10 3.21
6313-76958-0013 5.70 5.81
6319-275224-0008 6.61 6.71
6319-275224-0014 5.14 5.28
6319-275224-0020 10.39 10.54
6319-57405-0000 5.87 5.99
6319-57405-0002 5.58 5.67
6319-57405-0012 4.93 5.04
6319-64726-0001 0.71 0.81
6319-64726-0002 1.01 1.13
6319-64726-0002 10.98 11.15
6319-64726-0004 5.67 5.78
6319-64726-0004 11.71 11.80
6319-64726-0011 5.25 5.37
6319-64726-0018 9.50 9.61
6319-64726-0019 4.28 4.39
6319-64726-0019 11.53 11.65
6345-64257-0001 20.77 20.86
6345-64257-0002 1.38 1.49
6345-64257-0003 5.99 6.11
6345-64257-0005 1.11 1.19
6345-64257-0006 7.09 7.19
6345-64257-0018 2.19 2.28
6345-64257-0019 2.14 2.28
6345-64257-0019 4.99 5.19
6345-93302-0001 1.12 1.22
6345-93302-0001 1.71 1.84
6345-93302-0002 4.01 4.13
6345-93302-0002 5.66 5.78
6345-93302-0003 2.20 2.30
6345-93302-0005 2.83 2.91
6345-93302-0009 3.39 3.48
6345-93302-0012 0.57 0.66
6345-93302-0016 1.97 2.04
6345-93302-0016 3.14 3.23
6345-93302-0017 1.20 1.32
6345-93302-0017 3.16 3.25
6345-93302-0022 2.03 2.12
6345-93302-0029 8.23 8.31
6345-93302-0029 9.45 9.61
6345-93306-0000 7.55 7.65
6345-93306-0000 8.14 8.26
6345-93306-0000 13.34 13.44
6345-93306-0000 15.40 15.48
6345-93306-0000 19.05 19.13
6345-93306-0002 2.96 3.08
6345-93306-0005 1.71 1.78
6345-93306-0024 3.97 4.04
6345-93306-0024 6.23 6.33
6345-93306-0025 7.67 7.76
652-129742-0001 4.55 4.67
652-129742-0003 5.15 5.25
652-129742-0004 4.84 4.96
652-129742-0004 6.35 6.47
652-129742-0007 1.46 1.58
652-129742-0009 6.72 6.93
652-129742-0009 10.51 10.62
652-129742-0012 2.75 2.87
652-129742-0015 5.17 5.29
652-129742-0017 0.79 0.89
652-130726-0002 0.41 0.50
652-130726-0002 2.55 2.64
652-130726-0003 1.67 1.77
652-130726-0003 5.47 5.59
652-130726-0004 13.14 13.28
652-130726-0005 1.39 1.50
652-130726-0005 3.23 3.33
652-130726-0005 5.56 5.70
652-130726-0009 1.06 1.19
652-130726-0011 1.24 1.33
652-130726-0011 6.05 6.19
652-130726-0012 0.72 0.81
652-130726-0017 0.40 0.52
652-130726-0017 2.82 2.93
652-130726-0019 4.89 4.97
652-130726-0020 1.15 1.23
652-130726-0020 4.99 5.16
652-130726-0021 2.38 2.48
652-130726-0021 3.69 3.79
652-130726-0021 5.73 5.83
652-130726-0021 9.52 9.60
652-130726-0022 10.78 10.86
