Class 0
2277-149896-0024 3.48 3.63
2277-149897-0004 3.29 3.41
2277-149897-0005 0.38 0.52
2277-149897-0013 3.55 3.65
2277-149897-0014 1.28 1.43
2277-149897-0016 2.80 2.92
2277-149897-0016 5.06 5.16
2277-149897-0028 1.59 1.71
2277-149897-0029 3.70 3.83
2277-149897-0034 2.59 2.72
2277-149897-0036 3.26 3.45
2412-153947-0003 2.30 2.48
2412-153947-0009 3.03 3.20
2412-153947-0013 6.66 6.80
2412-153947-0014 8.73 8.86
2412-153947-0015 1.90 2.03
2412-153947-0016 2.41 2.52
2412-153948-0000 0.98 1.14
2412-153948-0000 2.35 2.48
2412-153948-0000 5.62 5.81
2412-153948-0002 2.08 2.20
2412-153948-0004 0.99 1.11
2412-153948-0004 17.54 17.68
2412-153948-0006 11.42 11.53
2412-153948-0007 0.67 0.75
2412-153948-0014 3.88 4.00
2412-153954-0000 2.54 2.65
2412-153954-0000 5.97 6.14
2412-153954-0002 0.72 0.85
2412-153954-0003 4.50 4.66
2412-153954-0007 1.37 1.49
2412-153954-0008 0.86 0.94
