Class 0
174-50561-0008 11.43 11.96
174-50561-0010 7.33 7.79
174-50561-0011 2.35 2.38
174-50561-0011 5.19 5.60
174-50561-0011 5.80 6.03
174-50561-0013 4.05 4.12
174-50561-0013 5.71 6.27
174-50561-0013 7.32 7.66
174-50561-0015 7.58 7.92
174-50561-0015 11.57 12.14
174-50561-0016 4.09 4.31
174-84280-0001 10.88 10.97
174-84280-0002 5.00 5.51
174-84280-0009 1.40 1.68
174-84280-0015 11.45 11.55
1919-142785-0000 1.34 1.50
1919-142785-0001 1.52 1.74
1919-142785-0002 3.12 3.73
1919-142785-0002 9.14 9.17
1919-142785-0005 8.55 8.95
1919-142785-0005 10.54 11.03
1919-142785-0007 9.72 10.02
1919-142785-0007 12.84 12.91
1919-142785-0007 16.42 16.59
1919-142785-0007 18.21 18.54
1919-142785-0008 12.37 12.47
1919-142785-0010 3.42 3.51
1919-142785-0013 0.78 1.20
1919-142785-0020 2.91 3.32
1919-142785-0020 5.23 5.88
1919-142785-0025 4.98 5.55
1919-142785-0027 4.28 4.70
1919-142785-0034 2.04 2.24
1919-142785-0036 0.47 1.17
1919-142785-0036 1.67 1.76
1919-142785-0038 3.72 3.87
1919-142785-0039 1.78 2.37
1919-142785-0043 0.69 1.06
1919-142785-0044 5.25 5.77
1919-142785-0045 1.09 1.47
1919-142785-0047 5.18 5.40
1919-142785-0050 8.34 8.79
1919-142785-0053 9.29 9.43
1919-142785-0056 1.04 1.08
1919-142785-0059 4.89 5.23
1919-142785-0061 2.02 2.17
1919-142785-0061 4.37 4.75
1988-147956-0000 10.25 10.69
1988-147956-0000 12.79 12.89
1988-147956-0004 2.10 2.33
1988-147956-0006 0.70 1.05
1988-147956-0006 4.16 4.82
1988-147956-0008 5.02 5.23
1988-147956-0008 6.57 6.70
1988-147956-0008 13.76 13.99
1988-147956-0009 1.59 1.80
1988-147956-0014 1.09 1.27
1988-147956-0015 1.40 1.46
1988-147956-0016 2.98 3.17
1988-147956-0017 2.06 2.40
1988-147956-0019 1.89 1.98
1988-147956-0020 4.26 4.60
1988-147956-0021 3.76 4.00
1988-147956-0028 1.04 1.21
1988-147956-0029 1.84 2.16
1988-148538-0001 2.65 3.01
1988-148538-0004 2.46 2.79
1988-148538-0004 10.89 11.42
1988-148538-0004 11.42 11.54
1988-148538-0005 1.08 1.16
1988-148538-0005 7.11 7.26
1988-148538-0006 3.72 3.85
1988-148538-0006 7.29 7.41
1988-148538-0007 1.69 2.30
1988-148538-0007 5.95 6.10
1988-148538-0009 7.02 7.40
1988-148538-0010 0.66 1.14
1988-148538-0010 6.42 6.70
1988-148538-0011 4.29 4.33
1988-148538-0014 6.85 7.25
1988-24833-0001 4.00 4.13
1988-24833-0002 0.33 0.49
1988-24833-0003 2.87 3.11
1988-24833-0008 1.22 1.48
1988-24833-0014 0.95 1.19
1988-24833-0017 0.75 0.85
1988-24833-0018 2.17 2.36
1988-24833-0019 0.60 0.66
1988-24833-0024 3.92 4.01
1993-147149-0006 1.23 1.49
1993-147149-0006 12.35 12.92
1993-147149-0006 20.16 20.25
1993-147149-0007 0.77 0.89
1993-147149-0007 7.06 7.45
1993-147149-0009 4.43 4.57
1993-147149-0009 8.91 9.14
1993-147149-0012 2.59 2.89
1993-147149-0012 4.90 5.28
1993-147149-0013 1.92 2.03
1993-147149-0014 2.09 2.55
1993-147149-0018 5.90 6.15
1993-147149-0018 8.58 8.81
1993-147149-0021 5.17 5.45
1993-147149-0023 4.23 4.45
1993-147149-0024 1.32 1.70
1993-147149-0025 6.17 6.43
1993-147149-0025 9.18 9.64
1993-147149-0027 1.13 1.32
1993-147149-0027 6.24 6.34
1993-147149-0027 16.67 16.90
1993-147149-0028 8.80 8.87
1993-147149-0030 0.67 0.77
1993-147149-0030 7.60 7.73
1993-147964-0000 0.72 0.95
1993-147964-0000 1.70 1.76
1993-147964-0002 0.46 0.64
1993-147964-0003 2.17 2.45
1993-147964-0005 3.49 3.67
1993-147964-0010 15.00 15.08
1993-147964-0010 15.92 16.08
1993-147965-0001 1.94 2.38
1993-147965-0002 0.94 1.39
1993-147965-0003 3.65 4.19
1993-147965-0006 4.83 4.93
1993-147965-0007 5.35 5.46
1993-147965-0007 6.26 6.48
1993-147966-0000 7.16 7.24
1993-147966-0001 10.51 11.11
1993-147966-0004 0.74 1.08
2035-147960-0003 0.92 1.24
2035-147960-0006 1.26 1.66
2035-147960-0014 3.37 3.60
2035-147961-0000 5.11 5.50
2035-147961-0002 3.37 3.45
2035-147961-0005 5.67 6.24
2035-147961-0010 1.37 1.71
2035-147961-0010 2.26 2.70
2035-147961-0015 2.48 2.79
2035-147961-0016 1.50 1.70
2035-147961-0020 0.27 0.39
2035-147961-0020 1.85 2.19
2035-147961-0021 0.94 1.31
2035-147961-0021 1.48 1.97
2035-147961-0021 7.39 7.47
2035-147961-0021 9.06 9.16
2035-147961-0025 3.42 3.77
2035-147961-0029 2.98 3.38
2035-147961-0032 8.12 8.39
2035-147961-0033 0.79 1.00
2035-147961-0033 1.00 1.10
2035-147961-0038 3.47 3.74
2035-147961-0038 4.37 4.71
2035-147961-0039 0.27 0.48
2035-152373-0001 10.86 11.29
2035-152373-0001 14.52 14.82
2035-152373-0002 1.52 2.13
2035-152373-0003 2.65 3.04
2035-152373-0004 6.25 6.37
2035-152373-0007 6.90 7.25
2035-152373-0007 7.80 7.88
2035-152373-0008 0.40 0.66
2035-152373-0009 4.13 4.28
2035-152373-0009 15.65 16.11
2035-152373-0010 1.03 1.13
2035-152373-0011 2.17 2.33
2035-152373-0011 7.98 8.08
2035-152373-0012 2.26 2.50
2035-152373-0013 2.44 2.55
2035-152373-0013 6.31 6.40
2035-152373-0013 8.46 8.69
2035-152373-0018 1.02 1.12
2035-152373-0018 2.03 2.31
2078-142845-0000 1.97 2.19
2078-142845-0004 3.99 4.49
2078-142845-0005 6.61 6.97
2078-142845-0005 17.88 18.27
2078-142845-0005 18.57 18.85
2078-142845-0005 30.41 30.50
2078-142845-0006 8.64 8.87
2078-142845-0007 9.64 10.14
2078-142845-0007 13.13 13.22
2078-142845-0008 10.58 11.16
2078-142845-0008 14.71 15.06
2078-142845-0008 15.25 15.89
2078-142845-0012 0.74 1.41
2078-142845-0012 10.81 11.46
2078-142845-0014 7.89 8.20
2078-142845-0015 5.64 5.77
2078-142845-0015 6.68 6.80
2078-142845-0015 8.91 9.49
2078-142845-0017 1.52 1.84
2078-142845-0018 1.19 1.90
2078-142845-0021 3.41 3.56
2078-142845-0025 21.57 21.69
2078-142845-0028 0.74 1.26
2078-142845-0028 6.75 7.41
2078-142845-0028 8.82 9.04
2078-142845-0031 13.80 13.93
2078-142845-0031 15.16 15.33
2078-142845-0031 15.56 16.20
2078-142845-0037 6.91 7.42
2078-142845-0037 8.52 8.67
2078-142845-0039 7.02 7.28
2078-142845-0039 16.06 16.17
2078-142845-0040 4.35 4.98
2078-142845-0043 3.97 4.38
2078-142845-0043 8.65 8.74
2078-142845-0043 12.20 12.64
2078-142845-0043 15.42 15.53
2078-142845-0043 19.57 19.85
2078-142845-0045 6.65 7.13
2078-142845-0046 1.11 1.87
2078-142845-0047 7.29 7.51
2078-142845-0047 10.07 10.55
2078-142845-0050 2.88 2.94
2086-149214-0000 7.82 7.91
2086-149214-0001 5.00 5.09
2086-149214-0002 6.52 6.82
2086-149220-0000 10.54 10.77
2086-149220-0001 5.94 6.03
2086-149220-0001 9.65 10.05
2086-149220-0001 18.30 18.81
2086-149220-0002 2.60 3.10
2086-149220-0002 14.94 15.02
2086-149220-0005 8.18 8.61
2086-149220-0009 10.20 10.60
2086-149220-0011 9.66 9.84
2086-149220-0012 1.75 1.85
2086-149220-0012 14.05 14.70
2086-149220-0014 3.83 4.33
2086-149220-0015 5.49 6.01
2086-149220-0017 6.57 6.94
2086-149220-0019 2.35 2.71
2086-149220-0019 3.57 4.11
2086-149220-0019 5.04 5.36
2086-149220-0019 7.35 7.44
2086-149220-0020 1.70 1.80
2086-149220-0021 1.50 1.82
2086-149220-0023 3.14 3.43
2086-149220-0024 1.77 2.13
2086-149220-0025 4.80 5.17
2086-149220-0025 6.44 6.47
2086-149220-0028 0.44 0.73
2086-149220-0029 1.21 1.42
2086-149220-0030 0.48 0.61
2086-149220-0030 2.89 3.19
2086-149220-0030 5.17 5.47
2086-149220-0031 2.52 3.06
2086-149220-0033 4.44 5.03
2086-149220-0035 1.52 1.62
2086-149220-0036 5.65 6.02
2086-149220-0037 0.68 0.75
2086-149220-0040 5.55 6.19
2086-149220-0041 10.64 10.71
2086-149220-0045 2.33 2.48
2086-149220-0047 2.42 2.73
2086-149220-0048 2.48 2.77
2277-149874-0000 1.23 1.42
2277-149874-0000 11.44 11.54
2277-149874-0000 13.35 13.45
2277-149874-0001 4.00 4.13
2277-149874-0004 1.35 1.53
2277-149874-0014 5.75 6.02
2277-149874-0016 2.66 3.20
2277-149874-0017 0.69 0.91
2277-149874-0019 3.90 3.98
2277-149896-0007 3.88 3.99
2277-149896-0008 0.51 0.83
2277-149896-0010 3.55 3.69
2277-149896-0010 3.69 3.95
2277-149896-0020 2.83 3.20
2277-149896-0023 2.51 2.64
2277-149896-0028 0.80 0.93
2277-149896-0031 0.17 0.29
2277-149896-0032 1.44 1.65
2277-149896-0032 3.31 4.04
2277-149896-0033 1.70 1.95
2277-149897-0004 3.21 3.29
2277-149897-0005 3.00 3.15
2277-149897-0005 6.26 6.35
2277-149897-0005 6.35 6.72
2277-149897-0009 1.97 2.03
2277-149897-0012 1.94 2.11
2277-149897-0018 4.56 4.91
2277-149897-0019 3.19 3.67
2277-149897-0026 2.38 2.47
2277-149897-0028 2.25 2.29
2277-149897-0028 2.41 2.53
2277-149897-0035 1.59 1.97
2277-149897-0037 0.50 0.75
2412-153947-0002 4.20 4.54
2412-153947-0003 3.35 3.44
2412-153947-0003 4.32 4.92
2412-153947-0006 1.52 1.63
2412-153947-0010 4.69 5.14
2412-153947-0010 5.55 5.89
2412-153947-0011 2.95 3.02
2412-153947-0012 0.89 1.12
2412-153947-0013 6.80 7.00
2412-153947-0015 5.76 5.96
2412-153947-0016 1.85 1.92
2412-153947-0016 3.94 4.14
2412-153948-0000 2.24 2.35
2412-153948-0004 0.99 1.11
2412-153948-0004 2.02 2.22
2412-153948-0004 6.44 6.76
2412-153948-0005 2.63 3.03
2412-153948-0006 11.42 11.53
2412-153948-0012 1.50 1.53
2412-153948-0012 5.34 5.92
2412-153954-0001 4.53 4.69
2412-153954-0001 5.19 5.30
2412-153954-0003 0.41 0.56
2412-153954-0003 7.01 7.25
2412-153954-0004 8.38 9.03
2412-153954-0014 0.53 0.67
2412-153954-0014 2.19 2.38
2412-153954-0015 2.74 2.85
2412-153954-0016 2.38 2.65
2412-153954-0018 2.54 2.70
2412-153954-0018 7.12 7.23
2412-153954-0021 2.73 2.98
2412-153954-0023 0.48 0.67
2412-153954-0024 2.07 2.22
2428-83699-0005 2.44 2.68
2428-83699-0005 3.52 3.94
2428-83699-0005 3.94 4.20
2428-83699-0008 4.93 5.15
2428-83699-0008 9.33 9.48
2428-83699-0011 0.88 0.91
2428-83699-0012 6.17 6.44
2428-83699-0013 0.68 0.91
2428-83699-0018 4.42 4.65
2428-83699-0025 7.46 7.77
2428-83699-0026 1.86 2.07
2428-83699-0026 2.32 2.46
2428-83699-0029 2.05 2.09
2428-83699-0032 0.20 0.49
2428-83699-0032 1.15 1.25
2428-83699-0036 1.64 1.78
2428-83699-0038 0.44 0.64
2428-83699-0038 1.53 1.92
2428-83699-0041 0.18 0.39
2428-83699-0042 0.29 0.60
2428-83705-0011 0.53 0.66
2428-83705-0012 3.39 4.01
2428-83705-0012 5.29 5.35
2428-83705-0014 1.05 1.68
2428-83705-0015 2.49 2.90
2428-83705-0015 2.90 3.17
2428-83705-0017 2.68 3.09
2428-83705-0018 1.05 1.35
2428-83705-0022 2.17 2.61
2428-83705-0023 2.62 2.94
2428-83705-0026 8.85 8.97
2428-83705-0029 3.52 3.66
2428-83705-0034 1.57 2.01
2428-83705-0037 6.98 7.57
2428-83705-0042 2.64 2.80
251-118436-0004 0.44 0.83
251-118436-0007 1.02 1.49
251-118436-0011 2.98 3.34
251-118436-0012 4.04 4.11
251-118436-0013 1.29 1.79
251-118436-0013 1.95 2.35
251-118436-0013 6.82 6.90
251-118436-0017 2.68 2.88
251-118436-0022 0.55 0.80
251-136532-0002 3.77 3.96
251-136532-0003 8.08 8.60
251-136532-0004 0.50 0.68
251-136532-0004 9.78 9.92
251-136532-0004 15.91 16.05
251-136532-0004 17.21 17.32
251-136532-0004 22.96 23.05
251-136532-0005 4.32 4.77
251-136532-0008 3.03 3.24
251-136532-0010 1.71 1.81
251-136532-0010 1.81 2.32
251-136532-0016 0.22 0.36
251-136532-0016 3.01 3.39
251-136532-0016 6.38 6.61
251-136532-0019 0.92 1.15
251-136532-0023 5.53 5.84
251-136532-0023 7.35 7.45
251-137823-0004 3.90 4.26
251-137823-0005 1.37 1.60
251-137823-0010 2.59 2.99
251-137823-0019 7.21 7.71
2803-154320-0001 9.91 10.03
2803-154320-0001 14.48 14.56
2803-154320-0003 2.54 2.72
2803-154320-0010 3.38 3.80
2803-154320-0012 5.45 5.57
2803-154328-0001 2.21 2.35
2803-154328-0003 7.08 7.53
2803-154328-0003 8.24 8.28
2803-154328-0005 5.21 5.61
2803-154328-0010 4.06 4.48
2803-154328-0012 2.31 3.04
2803-154328-0015 16.05 16.14
2803-154328-0015 17.64 17.74
2803-154328-0019 3.04 3.74
2803-154328-0023 3.84 4.03
2803-154328-0023 5.06 5.46
2803-161169-0000 1.92 2.33
2803-161169-0000 7.59 7.73
2803-161169-0003 8.32 8.81
2803-161169-0005 5.82 6.42
2803-161169-0006 3.98 4.23
2803-161169-0006 5.53 6.06
2803-161169-0007 4.87 5.36
2803-161169-0010 10.01 10.11
2803-161169-0013 2.79 2.93
2803-161169-0013 10.53 10.60
2803-161169-0015 0.16 0.33
2902-9006-0001 5.91 6.06
2902-9006-0001 8.45 8.94
2902-9006-0001 16.46 17.05
2902-9006-0002 0.50 1.13
2902-9006-0002 9.39 9.49
2902-9006-0003 13.74 14.41
2902-9006-0005 3.04 3.66
2902-9006-0005 23.39 23.70
2902-9006-0005 26.61 27.12
2902-9006-0007 20.73 21.31
2902-9006-0008 9.88 10.19
2902-9006-0009 0.69 0.79
2902-9006-0011 0.75 0.84
2902-9006-0011 3.59 4.04
2902-9006-0013 1.61 1.80
2902-9006-0013 5.93 6.44
2902-9006-0014 10.12 10.46
2902-9006-0014 13.53 13.63
2902-9006-0014 17.21 17.42
2902-9006-0014 19.29 20.01
2902-9006-0015 14.79 15.37
2902-9006-0017 2.90 3.29
2902-9006-0017 4.10 4.21
2902-9006-0017 22.29 22.70
2902-9006-0018 16.11 16.39
2902-9006-0018 18.65 18.74
2902-9006-0018 19.35 19.42
2902-9006-0018 26.84 26.87
2902-9006-0018 27.80 27.94
2902-9006-0018 27.94 28.02
2902-9006-0018 31.55 32.05
2902-9006-0019 5.23 5.51
2902-9008-0000 0.30 0.41
2902-9008-0001 14.30 14.85
2902-9008-0001 15.98 16.41
2902-9008-0002 6.82 6.93
2902-9008-0002 17.95 18.08
2902-9008-0006 6.05 6.21
2902-9008-0006 13.33 13.47
2902-9008-0006 15.86 15.94
2902-9008-0006 16.58 16.69
2902-9008-0007 2.57 3.08
2902-9008-0010 6.47 6.66
2902-9008-0012 4.55 4.81
2902-9008-0013 1.08 1.56
2902-9008-0014 9.35 9.58
2902-9008-0016 1.56 1.76
3000-15664-0001 2.37 2.48
3000-15664-0001 4.57 4.80
3000-15664-0001 7.45 7.49
3000-15664-0002 4.83 5.02
3000-15664-0008 6.37 6.44
3000-15664-0009 3.94 4.30
3000-15664-0010 5.84 5.91
3000-15664-0010 11.37 11.51
3000-15664-0011 2.89 3.00
3000-15664-0012 1.31 1.62
3000-15664-0012 8.18 8.36
3000-15664-0012 10.82 10.91
3000-15664-0015 0.47 0.97
3000-15664-0015 4.50 5.03
3000-15664-0015 12.39 12.90
3000-15664-0016 0.70 1.04
3000-15664-0016 3.90 4.19
3000-15664-0017 6.72 7.08
3000-15664-0018 2.09 2.18
3000-15664-0020 5.88 6.44
3000-15664-0021 2.31 2.40
3000-15664-0021 7.77 8.23
3000-15664-0024 6.03 6.15
3000-15664-0024 7.36 7.48
3000-15664-0024 7.48 7.81
3000-15664-0025 2.49 2.55
3000-15664-0025 2.55 2.71
3000-15664-0027 2.32 2.37
3000-15664-0028 4.27 4.66
3000-15664-0031 3.08 3.20
3000-15664-0033 0.47 0.57
3000-15664-0033 5.63 6.16
3000-15664-0033 10.96 11.34
3000-15664-0033 12.10 12.22
3000-15664-0033 18.66 18.84
3000-15664-0033 21.50 21.61
3000-15664-0034 12.19 12.76
3000-15664-0035 2.93 3.24
3000-15664-0035 13.84 14.11
3000-15664-0036 2.71 2.84
3000-15664-0036 2.84 3.30
3000-15664-0036 6.69 6.75
3000-15664-0036 11.16 11.38
3000-15664-0037 0.45 0.81
3000-15664-0038 4.77 5.61
3000-15664-0038 11.89 12.00
3000-15664-0040 1.33 1.43
3000-15664-0040 6.80 7.31
3000-15664-0041 2.93 3.14
3000-15664-0041 8.34 8.54
3081-166546-0004 0.75 1.14
3081-166546-0007 3.98 4.22
3081-166546-0009 0.95 1.17
3081-166546-0016 6.10 6.13
3081-166546-0020 4.23 4.59
3081-166546-0022 9.58 10.07
3081-166546-0024 1.93 2.41
3081-166546-0027 1.16 1.25
3081-166546-0027 2.17 2.38
3081-166546-0029 0.43 1.18
3081-166546-0029 4.47 4.56
3081-166546-0033 0.31 0.56
3081-166546-0034 1.40 1.78
3081-166546-0040 3.22 3.37
3081-166546-0042 3.20 3.23
3081-166546-0051 0.86 1.13
3081-166546-0051 3.31 3.43
3081-166546-0052 0.49 0.74
3081-166546-0057 1.20 1.30
3081-166546-0059 1.47 1.69
3081-166546-0059 3.23 3.96
3081-166546-0064 3.42 3.93
3081-166546-0067 7.34 7.68
3081-166546-0072 2.95 3.23
3081-166546-0078 3.53 3.99
3081-166546-0082 6.91 7.18
3081-166546-0085 1.74 2.07
3170-137482-0000 3.27 3.73
3170-137482-0001 12.45 12.54
3170-137482-0001 17.06 17.20
3170-137482-0002 2.37 2.72
3170-137482-0002 3.85 3.91
3170-137482-0003 10.03 10.12
3170-137482-0004 2.76 2.85
3170-137482-0006 0.57 0.66
3170-137482-0007 5.53 6.05
3170-137482-0007 12.92 13.24
3170-137482-0009 0.51 0.71
3170-137482-0009 3.00 3.10
3170-137482-0009 4.74 4.82
3170-137482-0010 0.95 1.01
3170-137482-0010 9.52 10.01
3170-137482-0015 7.96 8.18
3170-137482-0016 1.92 2.59
3170-137482-0017 12.70 13.00
3170-137482-0018 0.84 1.02
3170-137482-0020 3.77 4.48
3170-137482-0021 2.43 2.56
3170-137482-0022 5.23 5.45
3170-137482-0023 4.98 5.24
3170-137482-0024 1.40 1.71
3170-137482-0026 4.73 4.91
3170-137482-0028 1.00 1.19
3170-137482-0035 2.29 2.66
3170-137482-0037 3.84 3.95
3170-137482-0039 9.76 10.06
3170-137482-0039 16.42 16.57
3170-137482-0042 2.16 3.67
3170-137482-0043 2.27 2.67
3170-137482-0043 3.08 3.23
3170-137482-0044 6.67 7.15
3170-137482-0047 7.85 8.04
3536-23268-0000 14.18 14.26
3536-23268-0003 3.86 4.30
3536-23268-0005 1.58 1.75
3536-23268-0008 3.82 3.93
3536-23268-0008 4.88 5.15
3536-23268-0017 3.63 4.09
3536-23268-0017 10.43 10.80
3536-23268-0017 15.59 15.92
3536-23268-0018 0.91 0.94
3536-23268-0019 3.37 3.60
3536-23268-0021 3.14 3.27
3536-23268-0023 2.48 2.70
3536-23268-0023 10.90 11.03
3536-23268-0025 1.96 2.30
3536-23268-0030 0.47 0.61
3536-23268-0030 3.22 3.65
3536-23268-0030 6.09 6.41
3536-8226-0003 2.10 2.84
3536-8226-0004 12.69 12.83
3536-8226-0004 13.40 13.52
3536-8226-0005 11.18 11.31
3536-8226-0006 7.71 7.80
3536-8226-0008 0.83 1.16
3536-8226-0010 8.78 8.87
3536-8226-0013 2.03 2.26
3536-8226-0022 7.45 7.58
3536-8226-0023 7.31 7.48
3536-8226-0027 0.62 0.87
3536-8226-0030 2.28 2.59
3576-138058-0000 3.87 4.10
3576-138058-0001 3.15 3.33
3576-138058-0001 5.55 5.84
3576-138058-0001 9.22 9.65
3576-138058-0002 12.33 12.77
3576-138058-0002 16.16 16.25
3576-138058-0002 19.75 19.87
3576-138058-0004 12.29 12.88
3576-138058-0005 5.69 5.86
3576-138058-0005 9.49 9.60
3576-138058-0007 2.55 2.99
3576-138058-0011 6.02 6.21
3576-138058-0014 3.83 3.98
3576-138058-0017 0.84 1.12
3576-138058-0017 4.14 4.52
3576-138058-0017 5.00 5.03
3576-138058-0017 14.18 14.28
3576-138058-0017 15.36 15.54
3576-138058-0019 3.63 3.78
3576-138058-0019 6.50 6.67
3576-138058-0022 25.77 26.25
3576-138058-0023 0.50 0.67
3576-138058-0023 4.82 5.11
3576-138058-0028 3.62 3.75
3576-138058-0031 0.65 1.01
3576-138058-0031 1.01 1.26
3576-138058-0032 1.59 1.72
3576-138058-0033 16.00 16.12
3576-138058-0035 1.83 2.30
3576-138058-0035 5.03 5.70
3576-138058-0037 0.46 0.60
3576-138058-0037 1.99 2.09
3576-138058-0037 8.55 9.00
3576-138058-0038 0.50 0.62
3752-4943-0004 12.46 12.56
3752-4943-0004 12.87 12.97
3752-4943-0005 2.24 2.32
3752-4943-0007 2.50 2.53
3752-4943-0010 3.77 3.98
3752-4943-0015 1.80 1.85
3752-4943-0021 2.27 2.59
3752-4943-0022 4.83 5.20
3752-4943-0025 2.16 2.38
3752-4943-0030 0.91 1.13
3752-4944-0001 0.97 1.68
3752-4944-0003 1.24 1.36
3752-4944-0004 0.45 0.53
3752-4944-0009 1.70 2.35
3752-4944-0012 0.74 1.18
3752-4944-0020 3.58 3.98
3752-4944-0022 2.99 3.57
3752-4944-0022 9.42 9.53
3752-4944-0024 0.32 0.76
3752-4944-0024 1.40 1.83
3752-4944-0025 1.11 1.69
3752-4944-0025 3.29 3.73
3752-4944-0033 2.91 3.93
3752-4944-0035 1.75 1.99
3752-4944-0037 1.35 1.51
3752-4944-0038 1.54 1.90
3752-4944-0052 1.11 1.23
3752-4944-0052 4.33 5.09
3752-4944-0059 2.12 2.26
3752-4944-0060 3.54 3.81
3752-4944-0064 0.79 0.96
3752-4944-0064 0.96 1.23
3752-4944-0064 2.54 2.66
3752-4944-0067 1.90 2.00
3752-4944-0068 0.91 1.42
3752-4944-0068 9.03 9.51
3752-4944-0069 5.88 6.06
3853-163249-0001 8.11 8.41
3853-163249-0002 3.38 3.66
3853-163249-0002 5.55 6.04
3853-163249-0003 1.75 1.91
3853-163249-0005 9.70 9.83
3853-163249-0010 8.24 8.53
3853-163249-0012 2.93 3.26
3853-163249-0012 3.71 3.85
3853-163249-0012 6.29 6.68
3853-163249-0014 5.42 5.49
3853-163249-0014 5.88 5.97
3853-163249-0016 0.91 1.35
3853-163249-0016 3.92 4.05
3853-163249-0016 6.97 7.20
3853-163249-0018 8.38 8.50
3853-163249-0019 2.96 3.21
3853-163249-0024 2.34 2.60
3853-163249-0024 2.91 3.01
3853-163249-0024 4.39 4.68
3853-163249-0024 10.53 10.80
3853-163249-0026 5.10 5.66
3853-163249-0028 4.36 4.58
3853-163249-0029 1.64 1.99
