Class 0
8297-275154-0018 0.74 1.25
8297-275154-0025 0.00 0.31
8297-275154-0002 5.33 5.49
8297-275154-0001 6.46 6.80
8297-275154-0024 1.24 1.43
8297-275154-0010 3.72 3.99
8297-275154-0010 3.99 4.16
8297-275154-0000 7.83 7.98
8297-275154-0009 1.16 1.47
8297-275154-0012 1.09 1.23
8297-275154-0012 1.89 2.69
1919-142785-0007 0.97 1.72
1919-142785-0007 7.58 7.93
1919-142785-0007 13.22 13.69
1919-142785-0007 21.07 21.30
1919-142785-0007 24.65 24.86
1919-142785-0036 1.76 2.29
1919-142785-0036 4.01 4.19
1919-142785-0059 3.54 3.64
1919-142785-0054 5.10 5.30
1919-142785-0045 0.51 0.72
1919-142785-0001 3.82 4.02
1919-142785-0050 3.53 3.68
1919-142785-0050 5.30 5.51
1919-142785-0021 1.58 1.69
1919-142785-0027 2.20 2.70
1919-142785-0030 5.96 6.02
1919-142785-0030 6.84 6.94
1919-142785-0015 0.00 0.34
1919-142785-0047 13.51 13.85
1919-142785-0047 17.23 17.66
1919-142785-0051 2.60 2.79
1919-142785-0051 8.16 8.41
1919-142785-0005 2.05 2.36
1919-142785-0005 5.17 5.37
1919-142785-0041 5.12 5.27
1919-142785-0043 6.32 6.78
1919-142785-0049 1.83 2.01
1919-142785-0049 2.48 2.59
1919-142785-0049 7.66 8.03
1919-142785-0049 8.03 8.80
1919-142785-0049 11.64 12.14
1919-142785-0020 5.18 5.23
1919-142785-0061 12.41 12.53
1919-142785-0057 1.05 1.13
1919-142785-0002 2.23 2.34
1919-142785-0025 3.11 3.42
1919-142785-0025 5.80 6.25
1919-142785-0025 6.28 6.42
1919-142785-0031 2.48 2.73
1919-142785-0060 1.60 1.82
1919-142785-0017 4.00 4.15
1919-142785-0017 4.15 4.58
1919-142785-0003 3.24 3.37
1919-142785-0003 3.57 3.60
1919-142785-0055 2.57 3.06
1919-142785-0032 3.75 4.13
1919-142785-0004 1.30 1.45
1919-142785-0004 5.01 5.19
1919-142785-0013 2.82 3.19
1919-142785-0013 4.41 4.85
1919-142785-0014 1.16 1.23
1272-128104-0014 0.42 0.74
1272-128104-0009 2.89 3.04
1272-128104-0009 14.59 14.97
1272-128104-0004 16.98 17.31
1272-128104-0004 25.67 25.82
1272-128104-0004 28.55 28.94
1272-128104-0003 4.78 5.21
1272-128104-0003 5.21 5.57
1272-128104-0000 1.40 1.52
1272-128104-0011 6.60 6.64
1272-128104-0011 13.65 14.16
1272-128104-0001 2.28 2.61
1272-128104-0002 9.28 9.43
1272-128104-0002 12.00 12.48
1272-128104-0008 0.48 0.76
1272-128104-0008 1.53 1.59
1272-128104-0008 3.22 3.75
1272-141231-0023 4.23 5.09
1272-141231-0002 8.42 8.51
1272-141231-0002 9.24 10.03
1272-141231-0002 10.63 11.52
1272-141231-0002 11.52 11.74
1272-141231-0002 12.44 12.85
1272-141231-0014 0.61 0.82
1272-141231-0014 3.11 3.60
1272-141231-0014 3.60 4.01
1272-141231-0022 1.55 1.70
1272-141231-0022 5.71 5.89
1272-141231-0022 6.85 7.23
1272-141231-0010 6.79 7.47
1272-141231-0026 4.25 4.84
1272-141231-0026 6.19 6.63
1272-141231-0009 2.65 2.68
1272-141231-0009 6.10 6.87
1272-141231-0021 2.62 2.80
1272-141231-0021 2.80 2.98
1272-141231-0032 2.99 3.20
1272-141231-0025 4.45 4.85
1272-141231-0025 5.96 6.21
1272-141231-0025 6.94 6.97
1272-141231-0012 5.35 5.71
1272-141231-0019 0.97 1.38
1272-141231-0006 0.39 0.52
1272-141231-0006 1.70 1.93
1272-141231-0004 3.46 3.75
1272-141231-0017 0.09 0.30
1272-141231-0017 1.53 2.02
1272-141231-0003 2.73 3.25
1272-141231-0003 4.89 5.42
1272-141231-0001 1.69 1.79
1272-141231-0015 4.82 5.28
1272-135031-0005 1.77 2.07
1272-135031-0005 3.22 3.44
1272-135031-0005 4.32 4.62
1272-135031-0003 1.83 2.22
1272-135031-0010 1.39 1.49
1272-135031-0006 2.45 2.55
1272-135031-0006 2.55 2.68
1272-135031-0006 3.17 3.66
1272-135031-0017 3.88 4.08
1272-135031-0017 4.24 4.75
1272-135031-0017 5.10 5.39
1272-135031-0009 0.67 0.90
1272-135031-0001 2.51 2.82
1272-135031-0001 2.82 3.18
1272-135031-0001 6.52 6.61
1272-135031-0001 9.72 9.98
1272-135031-0022 0.00 0.50
1272-135031-0022 2.48 2.69
1272-135031-0007 3.56 4.05
1272-135031-0020 2.73 2.82
1272-135031-0002 3.03 3.44
1272-135031-0002 3.63 3.97
1272-135031-0002 9.75 9.90
1272-135031-0024 4.76 4.79
1272-135031-0024 9.87 10.00
1272-135031-0024 10.38 10.52
1272-135031-0024 12.64 13.10
1272-135031-0023 1.61 2.27
1272-135031-0023 3.51 3.70
1272-135031-0023 4.83 5.21
1272-135031-0000 6.88 7.53
1272-135031-0000 9.26 9.43
1272-135031-0000 9.89 10.38
3000-15664-0010 2.33 2.47
3000-15664-0010 5.19 5.67
3000-15664-0010 11.84 12.16
3000-15664-0040 3.96 4.27
3000-15664-0036 6.22 6.36
3000-15664-0036 7.48 7.67
3000-15664-0021 7.20 7.70
3000-15664-0017 9.77 10.36
3000-15664-0033 2.13 3.03
3000-15664-0033 8.16 8.54
3000-15664-0033 10.69 10.83
3000-15664-0033 18.66 18.84
3000-15664-0033 20.35 20.49
3000-15664-0005 7.01 7.47
3000-15664-0013 0.26 0.45
3000-15664-0013 3.60 4.02
3000-15664-0013 4.73 4.98
3000-15664-0013 5.56 5.61
3000-15664-0001 1.48 2.37
3000-15664-0001 6.84 7.45
3000-15664-0001 20.51 20.86
3000-15664-0035 2.89 2.93
3000-15664-0035 4.66 4.95
3000-15664-0035 11.38 11.85
3000-15664-0011 3.58 3.64
3000-15664-0018 4.52 4.63
3000-15664-0020 1.46 2.05
3000-15664-0020 6.69 6.96
3000-15664-0041 20.03 20.76
3000-15664-0019 6.93 7.40
3000-15664-0045 8.30 8.96
3000-15664-0024 4.10 4.49
3000-15664-0024 9.90 10.01
3000-15664-0024 10.83 10.93
3000-15664-0025 1.77 1.86
3000-15664-0025 2.71 2.94
3000-15664-0025 4.20 4.76
3000-15664-0022 0.59 0.98
3000-15664-0022 3.50 3.61
3000-15664-0022 6.10 6.47
3000-15664-0003 1.80 2.45
3000-15664-0037 2.50 2.59
3000-15664-0037 8.10 8.66
3000-15664-0038 6.76 7.05
3000-15664-0038 7.05 7.10
3000-15664-0042 2.54 3.03
3000-15664-0042 3.33 3.56
3000-15664-0044 8.86 9.57
3000-15664-0044 11.32 11.41
3000-15664-0044 12.00 12.16
3000-15664-0014 0.40 0.55
3000-15664-0014 1.27 1.78
3000-15664-0014 3.56 3.69
3000-15664-0014 6.31 6.78
3000-15664-0002 4.11 4.40
3000-15664-0034 4.32 4.73
3000-15664-0034 5.70 5.88
3000-15664-0034 7.72 7.81
3000-15664-0034 12.19 12.76
3000-15664-0034 13.52 13.91
3000-15664-0034 14.28 14.45
174-50561-0001 4.90 5.04
174-50561-0001 7.79 8.22
174-50561-0001 11.85 11.92
174-50561-0001 11.92 12.06
174-50561-0017 0.56 0.79
174-50561-0017 0.79 0.98
174-50561-0017 1.79 2.31
174-50561-0011 5.60 5.80
174-50561-0014 0.69 1.27
174-50561-0016 8.06 8.32
174-50561-0010 0.98 1.35
174-50561-0010 6.09 6.46
174-50561-0010 8.27 8.69
174-50561-0010 9.69 10.32
174-50561-0010 11.11 11.24
174-50561-0015 1.07 1.50
174-50561-0015 9.99 10.41
174-50561-0015 12.14 12.20
174-50561-0015 12.85 13.39
174-50561-0007 3.16 3.27
174-50561-0007 4.96 5.46
174-50561-0007 6.09 6.62
174-50561-0007 9.49 9.86
174-50561-0007 9.86 10.39
174-50561-0019 1.24 1.42
174-50561-0013 1.69 2.05
174-50561-0013 2.49 2.92
174-50561-0013 4.05 4.12
174-50561-0013 5.71 6.27
174-50561-0000 2.47 2.61
174-50561-0008 0.86 0.95
174-50561-0008 4.38 4.87
174-50561-0008 5.59 6.08
174-50561-0008 8.99 9.06
174-50561-0008 9.06 9.48
174-50561-0008 13.30 13.75
174-84280-0004 3.69 4.07
174-84280-0004 4.64 5.13
174-84280-0004 9.63 9.96
174-84280-0004 12.04 12.75
174-84280-0004 20.11 20.53
174-84280-0002 7.67 7.87
174-84280-0002 11.11 11.26
174-84280-0008 1.19 1.29
174-84280-0008 4.38 4.52
174-84280-0005 5.16 5.49
174-84280-0005 6.80 7.10
174-84280-0007 2.50 2.81
174-84280-0007 2.81 3.09
174-84280-0007 3.64 4.24
174-84280-0007 4.24 4.39
174-84280-0007 5.72 5.81
174-84280-0007 7.44 7.92
174-84280-0009 1.68 1.93
174-84280-0009 2.32 2.48
174-84280-0012 1.46 1.65
174-84280-0012 3.01 3.22
174-84280-0012 11.60 12.07
174-84280-0013 1.16 1.19
174-84280-0013 5.09 5.60
174-84280-0013 6.81 7.05
174-84280-0013 13.53 13.81
174-84280-0006 0.70 0.89
174-84280-0006 1.18 1.65
174-84280-0015 4.18 4.24
174-84280-0015 5.00 5.68
174-84280-0015 9.69 9.91
174-84280-0014 0.89 1.50
174-84280-0001 7.97 8.12
174-84280-0001 11.81 11.91
174-84280-0001 14.77 14.89
174-84280-0001 14.89 15.87
174-84280-0001 17.39 17.84
174-84280-0010 0.77 0.95
174-168635-0015 1.10 1.30
174-168635-0015 3.12 3.24
174-168635-0008 8.43 8.46
174-168635-0003 2.24 2.30
174-168635-0003 2.30 2.88
174-168635-0003 7.06 7.67
174-168635-0003 7.83 8.16
174-168635-0003 9.97 10.02
174-168635-0003 11.48 11.83
174-168635-0017 1.01 1.14
174-168635-0017 4.11 4.57
174-168635-0010 8.69 8.92
174-168635-0002 0.79 1.31
174-168635-0002 4.05 4.46
174-168635-0002 5.60 5.83
174-168635-0016 3.97 4.10
174-168635-0009 0.50 0.69
174-168635-0019 3.96 4.38
174-168635-0019 4.38 4.50
174-168635-0019 6.75 7.12
174-168635-0013 1.75 2.39
174-168635-0013 3.69 4.09
174-168635-0018 0.66 0.81
174-168635-0018 4.18 4.62
174-168635-0018 6.51 6.88
174-168635-0018 14.88 15.44
174-168635-0018 24.93 25.47
174-168635-0018 25.80 26.22
174-168635-0011 1.25 1.45
174-168635-0006 1.67 1.83
174-168635-0006 3.50 4.21
174-168635-0005 1.60 2.10
174-168635-0005 6.96 7.44
1673-143396-0016 7.51 7.72
1673-143396-0020 13.87 13.98
1673-143396-0009 9.65 9.83
1673-143396-0009 12.37 12.57
1673-143396-0003 7.15 7.74
1673-143396-0003 10.15 10.29
1673-143396-0008 1.03 1.13
1673-143396-0008 5.05 5.29
1673-143396-0008 12.11 12.54
1673-143396-0004 6.04 6.41
1673-143396-0004 7.36 7.49
1673-143396-0004 8.70 8.97
1673-143396-0004 15.23 15.41
1673-143396-0004 16.14 16.30
1673-143396-0011 0.51 0.59
1673-143396-0011 15.97 16.41
1673-143396-0013 2.33 2.40
1673-143396-0013 4.06 4.22
1673-143396-0013 11.43 11.97
1673-143396-0013 12.47 12.96
1673-143396-0014 0.32 0.56
1673-143396-0014 8.57 8.60
1673-143396-0014 12.13 12.24
1673-143396-0000 0.00 0.34
1673-143396-0000 1.74 2.06
1673-143396-0000 13.08 13.15
1673-143396-0010 11.49 11.99
1673-143396-0012 6.99 7.55
1673-143396-0002 0.75 1.21
1673-143396-0002 4.42 4.88
1673-143396-0006 0.93 1.10
1673-143396-0019 8.41 8.49
1673-143396-0019 12.65 12.77
1673-143396-0019 12.77 13.00
1673-143396-0005 3.69 3.75
1673-143397-0008 0.91 1.56
1673-143397-0001 5.71 5.95
1673-143397-0001 6.16 6.23
1673-143397-0001 7.86 7.94
1673-143397-0013 0.65 0.75
1673-143397-0013 3.18 3.46
1673-143397-0013 4.01 4.41
1673-143397-0013 5.57 6.19
1673-143397-0002 4.62 4.75
1673-143397-0016 0.00 0.39
1673-143397-0016 9.94 10.51
1673-143397-0015 5.45 5.83
1673-143397-0000 6.79 7.05
1673-143397-0011 1.80 2.06
1673-143397-0011 4.44 4.71
1673-143397-0017 1.66 1.74
1673-143397-0017 2.08 2.18
1673-143397-0017 4.39 4.49
1673-143397-0004 3.47 3.91
1673-143397-0004 5.37 5.58
1673-143397-0006 5.53 5.79
1673-143397-0010 3.70 4.11
1673-143397-0019 4.47 4.60
2078-142845-0051 1.05 1.19
2078-142845-0051 1.40 1.53
2078-142845-0051 7.68 7.85
2078-142845-0005 12.48 12.89
2078-142845-0005 16.57 17.07
2078-142845-0005 17.07 17.23
2078-142845-0005 17.88 18.27
2078-142845-0005 19.04 19.22
2078-142845-0005 27.98 28.37
2078-142845-0004 14.00 14.33
2078-142845-0004 21.10 21.49
2078-142845-0015 5.64 5.77
2078-142845-0037 7.42 7.90
2078-142845-0031 6.25 6.89
2078-142845-0031 13.93 14.49
2078-142845-0019 6.38 6.95
2078-142845-0018 2.27 2.39
2078-142845-0040 3.89 4.11
2078-142845-0020 7.80 8.23
2078-142845-0020 8.23 8.43
2078-142845-0021 1.18 1.39
2078-142845-0034 4.59 4.94
2078-142845-0034 5.28 5.94
2078-142845-0006 3.14 3.26
2078-142845-0006 5.75 5.93
2078-142845-0003 1.20 2.00
2078-142845-0039 10.39 10.71
2078-142845-0039 10.71 11.12
2078-142845-0047 3.02 3.44
2078-142845-0047 3.56 4.17
2078-142845-0013 5.33 5.73
2078-142845-0007 1.13 1.62
2078-142845-0033 3.41 3.99
2078-142845-0033 4.83 5.18
2078-142845-0045 0.80 1.19
2078-142845-0050 6.85 7.44
2078-142845-0008 0.53 0.68
2078-142845-0008 4.60 4.83
2078-142845-0008 11.29 11.44
2078-142845-0008 16.69 17.14
2078-142845-0010 1.58 1.63
2078-142845-0010 13.62 14.07
2078-142845-0025 21.69 22.11
2078-142845-0025 22.71 22.80
2078-142845-0025 26.02 26.27
2078-142845-0048 0.00 0.37
2078-142845-0028 0.35 0.59
2078-142845-0028 8.69 8.82
2078-142845-0043 5.07 5.73
2078-142845-0043 12.20 12.64
2078-142845-0000 1.97 2.19
2078-142845-0030 3.27 3.83
2078-142845-0030 8.65 8.73
1993-147965-0007 3.89 4.05
1993-147965-0006 0.66 1.03
1993-147965-0006 1.64 1.87
1993-147965-0006 1.90 2.48
1993-147965-0006 5.61 5.94
1993-147965-0004 0.00 0.50
1993-147965-0004 1.68 1.81
1993-147965-0000 1.51 1.85
1993-147965-0002 3.48 3.74
1993-147965-0001 0.00 0.44
1993-147965-0001 1.37 1.75
1993-147965-0001 2.38 2.69
1993-147964-0007 2.58 2.71
1993-147964-0008 1.03 1.13
1993-147964-0005 8.78 9.13
1993-147964-0005 9.19 9.65
1993-147964-0000 0.72 0.95
1993-147964-0000 2.97 3.48
1993-147964-0000 3.88 4.28
1993-147964-0000 5.09 5.48
1993-147964-0000 5.48 5.61
1993-147964-0004 1.33 1.43
1993-147964-0004 4.27 4.45
1993-147964-0003 3.57 3.92
1993-147964-0009 7.69 7.78
1993-147149-0019 2.59 2.96
1993-147149-0019 2.96 3.55
1993-147149-0030 6.71 7.16
1993-147149-0029 4.25 4.43
1993-147149-0009 11.11 11.31
1993-147149-0009 16.78 17.28
1993-147149-0027 13.76 14.43
1993-147149-0015 1.94 2.10
1993-147149-0023 9.26 9.43
1993-147149-0014 2.55 3.06
1993-147149-0006 9.62 10.07
1993-147149-0006 13.58 13.92
1993-147149-0006 21.03 21.20
1993-147149-0008 1.63 1.75
1993-147149-0025 7.61 7.77
1993-147149-0001 1.20 1.30
1993-147149-0028 2.73 2.93
1993-147149-0007 2.24 2.32
1993-147149-0007 5.59 5.91
1993-147149-0018 13.14 13.29
1993-147149-0020 7.30 7.42
1993-147149-0020 13.19 13.28
1993-147149-0022 2.38 2.52
1993-147149-0022 8.39 8.58
1993-147149-0022 13.30 14.02
1993-147149-0016 3.96 4.15
1993-147149-0011 2.85 3.12
1993-147966-0005 0.35 0.51
1993-147966-0005 2.12 2.34
1993-147966-0000 0.50 0.62
1993-147966-0000 1.73 2.01
1993-147966-0000 7.16 7.24
1993-147966-0001 0.65 0.87
1993-147966-0001 0.98 1.25
3081-166546-0082 0.00 0.27
3081-166546-0058 1.35 1.93
3081-166546-0016 6.37 6.69
3081-166546-0016 6.69 7.18
3081-166546-0085 2.07 2.42
3081-166546-0085 2.42 2.56
3081-166546-0085 5.80 6.04
3081-166546-0085 6.40 6.89
3081-166546-0049 0.91 1.03
3081-166546-0054 0.53 0.86
3081-166546-0054 0.86 1.75
3081-166546-0001 0.00 0.51
3081-166546-0001 3.90 4.22
3081-166546-0056 0.00 0.22
3081-166546-0056 1.19 1.34
3081-166546-0059 3.23 3.96
3081-166546-0047 4.11 4.45
3081-166546-0031 5.36 6.09
3081-166546-0031 6.57 6.75
3081-166546-0003 2.80 3.15
3081-166546-0062 3.41 3.49
3081-166546-0068 0.45 0.62
3081-166546-0072 2.95 3.23
3081-166546-0026 4.58 4.97
3081-166546-0026 6.57 6.75
3081-166546-0045 3.77 4.48
3081-166546-0045 6.62 6.79
3081-166546-0023 4.08 4.55
3081-166546-0088 1.11 1.43
3081-166546-0088 4.22 4.45
3081-166546-0088 5.98 6.28
3081-166546-0007 2.69 2.85
3081-166546-0079 0.83 0.95
3081-166546-0079 0.95 1.38
3081-166546-0079 1.38 1.62
3081-166546-0005 0.90 1.44
3081-166546-0074 3.20 3.73
3081-166546-0048 3.18 3.31
3081-166546-0051 9.61 9.80
3081-166546-0070 4.13 4.31
3081-166546-0028 3.12 3.67
3081-166546-0014 0.88 1.20
3081-166546-0019 0.81 0.84
3081-166546-0040 2.36 2.49
3081-166546-0044 1.75 2.41
3081-166546-0089 5.71 6.03
3081-166546-0089 10.31 10.54
3081-166546-0089 11.11 11.42
3081-166546-0024 0.00 0.30
3081-166546-0024 1.93 2.41
3081-166546-0012 2.40 3.12
3081-166546-0012 3.12 3.63
3081-166546-0013 4.16 4.70
3081-166546-0083 0.89 1.34
3081-166546-0083 1.85 2.37
3081-166546-0077 2.64 2.78
3081-166546-0077 3.34 3.48
3081-166546-0077 4.73 4.77
3081-166546-0077 8.55 9.09
3081-166546-0000 2.30 2.82
3081-166546-0030 5.36 5.71
3081-166546-0030 6.61 6.89
1988-148538-0004 1.71 2.36
1988-148538-0004 2.46 2.79
1988-148538-0004 11.42 11.54
1988-148538-0000 11.01 11.24
1988-148538-0000 11.57 11.70
1988-148538-0000 13.50 13.71
1988-148538-0011 2.42 2.45
1988-148538-0011 2.45 2.87
1988-148538-0013 5.97 6.26
1988-148538-0006 3.48 3.72
1988-148538-0006 7.91 8.03
1988-148538-0007 2.84 3.30
1988-148538-0015 2.64 2.82
1988-148538-0015 2.82 3.11
1988-148538-0015 5.59 5.74
1988-148538-0010 4.07 4.67
1988-148538-0005 2.76 2.95
1988-148538-0005 8.00 8.41
1988-148538-0014 3.45 3.84
1988-148538-0014 5.04 5.59
1988-148538-0001 1.88 2.23
1988-148538-0001 3.98 4.07
1988-148538-0001 7.84 8.06
1988-148538-0001 10.72 11.02
1988-148538-0012 3.76 3.91
1988-148538-0012 8.06 8.09
1988-148538-0008 5.90 6.03
1988-24833-0018 5.03 5.35
1988-24833-0011 5.97 6.32
1988-24833-0024 1.76 1.85
1988-24833-0007 4.15 4.28
1988-24833-0017 4.34 4.41
1988-24833-0001 3.61 3.84
1988-24833-0001 5.15 5.42
1988-24833-0028 2.12 2.61
1988-24833-0002 2.91 3.09
1988-24833-0013 0.00 0.28
1988-24833-0013 0.53 0.60
1988-24833-0000 0.77 1.11
1988-24833-0012 0.71 0.79
1988-24833-0012 3.04 3.16
1988-24833-0008 0.00 0.21
1988-24833-0003 0.85 0.98
1988-24833-0015 2.86 2.93
1988-147956-0001 13.71 14.21
1988-147956-0007 0.51 0.72
1988-147956-0007 4.70 4.82
1988-147956-0004 3.90 4.17
1988-147956-0004 4.78 5.22
1988-147956-0029 0.00 0.35
1988-147956-0011 1.19 1.51
1988-147956-0024 1.01 1.17
1988-147956-0024 2.75 3.08
1988-147956-0015 1.30 1.40
1988-147956-0015 2.31 2.44
1988-147956-0017 0.63 0.84
1988-147956-0017 5.15 5.25
1988-147956-0017 5.80 6.30
1988-147956-0000 1.18 1.32
1988-147956-0000 9.22 9.71
1988-147956-0008 3.01 3.12
1988-147956-0008 12.83 13.22
1988-147956-0022 0.00 0.38
1988-147956-0026 4.89 4.97
1988-147956-0006 4.16 4.82
1988-147956-0016 1.98 2.06
1988-147956-0020 5.74 6.07
1988-147956-0005 0.00 0.40
3752-4943-0010 3.12 3.28
3752-4943-0007 8.04 8.31
3752-4943-0006 0.17 0.48
3752-4943-0008 1.44 1.59
3752-4943-0008 2.22 2.68
3752-4943-0028 2.37 2.69
3752-4943-0025 1.85 2.16
3752-4943-0025 2.16 2.38
3752-4943-0025 4.36 4.45
3752-4943-0000 4.62 4.74
3752-4943-0021 1.15 1.41
3752-4943-0026 0.39 0.64
3752-4943-0017 0.00 0.24
3752-4943-0002 1.20 1.52
3752-4943-0003 0.77 0.93
3752-4943-0003 1.35 1.80
3752-4943-0003 2.47 2.85
3752-4943-0020 1.49 1.74
3752-4943-0020 4.54 4.88
3752-4943-0001 5.83 6.30
3752-4943-0005 1.57 2.01
3752-4943-0005 2.24 2.32
3752-4943-0012 1.12 1.44
3752-4943-0004 1.44 1.92
3752-4943-0004 3.48 4.02
3752-4943-0004 5.55 5.70
3752-4943-0004 5.85 6.03
3752-4943-0004 12.56 12.79
3752-4943-0004 12.97 13.64
3752-4944-0001 0.00 0.28
3752-4944-0012 1.96 2.37
3752-4944-0012 3.09 3.24
3752-4944-0012 4.21 4.32
3752-4944-0066 0.00 0.26
3752-4944-0066 3.86 4.04
3752-4944-0064 0.62 0.79
3752-4944-0021 1.92 2.16
3752-4944-0021 4.80 5.15
3752-4944-0013 0.82 0.94
3752-4944-0013 1.50 1.89
3752-4944-0032 0.84 1.31
3752-4944-0041 2.20 2.48
3752-4944-0009 0.68 1.04
3752-4944-0069 1.12 1.27
3752-4944-0069 4.26 4.68
3752-4944-0069 5.37 5.88
3752-4944-0010 2.56 2.82
3752-4944-0054 1.01 1.24
3752-4944-0053 0.95 1.25
3752-4944-0038 2.02 2.56
3752-4944-0034 0.48 0.66
3752-4944-0034 1.97 2.04
3752-4944-0034 3.54 3.92
3752-4944-0022 4.71 4.80
3752-4944-0014 1.43 1.62
3752-4944-0048 2.71 2.80
3752-4944-0033 0.76 0.93
3752-4944-0068 3.96 4.08
3752-4944-0035 0.83 0.91
3752-4944-0045 1.59 1.76
3752-4944-0006 1.23 1.58
3752-4944-0006 1.58 2.12
3752-4944-0040 1.20 1.29
3752-4944-0067 1.41 1.78
3752-4944-0018 1.69 2.34
3752-4944-0020 3.44 3.58
3752-4944-0020 4.76 5.35
3752-4944-0052 2.21 2.59
3752-4944-0016 2.77 2.92
3752-4944-0017 2.55 2.87
3752-4944-0017 2.87 3.04
3752-4944-0017 3.14 3.48
3752-4944-0017 5.73 5.96
3752-4944-0058 0.96 1.09
3752-4944-0047 4.90 5.00
3752-4944-0056 0.95 1.21
3752-4944-0036 5.78 5.86
3752-4944-0060 0.55 0.90
3752-4944-0000 2.34 2.97
7850-73752-0015 4.43 4.59
7850-73752-0001 0.43 0.63
7850-73752-0018 7.42 7.52
7850-73752-0002 7.20 7.79
7850-73752-0011 2.09 2.79
7850-73752-0010 10.38 10.91
7850-73752-0008 4.80 4.86
7850-73752-0008 8.59 8.68
7850-73752-0008 10.31 10.61
7850-73752-0012 2.43 2.65
7850-73752-0003 4.84 5.25
7850-73752-0003 14.50 14.68
7850-73752-0007 4.99 5.20
7850-73752-0007 8.51 8.62
7850-73752-0017 4.66 4.81
7850-73752-0006 5.60 6.05
7850-73752-0006 8.94 9.66
7850-286674-0015 0.00 0.25
7850-286674-0002 1.68 1.95
7850-286674-0010 8.08 8.43
7850-286674-0004 0.29 0.45
7850-286674-0004 3.07 3.54
7850-286674-0016 6.86 7.33
7850-286674-0016 7.40 7.74
7850-286674-0008 1.09 1.40
7850-286674-0000 1.03 1.39
7850-286674-0014 1.59 1.82
7850-286674-0014 2.61 2.99
7850-286674-0011 0.00 0.26
7850-286674-0011 2.69 2.90
7850-286674-0011 7.30 7.53
7850-286674-0011 7.85 7.97
7850-286674-0009 0.85 1.15
7850-281318-0023 3.33 3.42
7850-281318-0023 4.75 5.03
7850-281318-0004 2.21 2.35
7850-281318-0004 3.24 3.42
7850-281318-0004 3.42 3.74
7850-281318-0008 2.06 2.36
7850-281318-0006 0.41 0.60
